name_datacenter,ano,classe,percentual,ano_operacional_referencia
ASAP SP1,2016,Vegetação densa,0.0,2022
ASAP SP1,2016,Grama,4.96,2022
ASAP SP1,2016,Solo exposto,0.0,2022
ASAP SP1,2016,Construção,95.04,2022
ASAP SP1,2017,Vegetação densa,0.0,2022
ASAP SP1,2017,Grama,5.79,2022
ASAP SP1,2017,Solo exposto,0.0,2022
ASAP SP1,2017,Construção,94.21,2022
ASAP SP1,2018,Vegetação densa,1.65,2022
ASAP SP1,2018,Grama,5.79,2022
ASAP SP1,2018,Solo exposto,0.0,2022
ASAP SP1,2018,Construção,92.56,2022
ASAP SP1,2019,Vegetação densa,0.0,2022
ASAP SP1,2019,Grama,9.92,2022
ASAP SP1,2019,Solo exposto,0.0,2022
ASAP SP1,2019,Construção,90.08,2022
ASAP SP1,2020,Vegetação densa,0.0,2022
ASAP SP1,2020,Grama,6.61,2022
ASAP SP1,2020,Solo exposto,0.0,2022
ASAP SP1,2020,Construção,93.39,2022
ASAP SP1,2021,Vegetação densa,0.0,2022
ASAP SP1,2021,Grama,9.92,2022
ASAP SP1,2021,Solo exposto,0.0,2022
ASAP SP1,2021,Construção,90.08,2022
ASAP SP1,2022,Vegetação densa,0.0,2022
ASAP SP1,2022,Grama,10.74,2022
ASAP SP1,2022,Solo exposto,0.0,2022
ASAP SP1,2022,Construção,89.26,2022
ASAP SP1,2023,Vegetação densa,0.0,2022
ASAP SP1,2023,Grama,14.05,2022
ASAP SP1,2023,Solo exposto,0.0,2022
ASAP SP1,2023,Construção,85.95,2022
ASAP SP1,2024,Vegetação densa,0.0,2022
ASAP SP1,2024,Grama,8.26,2022
ASAP SP1,2024,Solo exposto,0.0,2022
ASAP SP1,2024,Construção,91.74,2022
ASAP SP1,2025,Vegetação densa,0.0,2022
ASAP SP1,2025,Grama,29.75,2022
ASAP SP1,2025,Solo exposto,0.0,2022
ASAP SP1,2025,Construção,70.25,2022
ASAP SP1,2026,Vegetação densa,0.0,2022
ASAP SP1,2026,Grama,35.4,2022
ASAP SP1,2026,Solo exposto,0.88,2022
ASAP SP1,2026,Construção,63.72,2022
Ascenty - Hortolandia HTL5,2016,Vegetação densa,0.0,2023
